player,la_2015,la_2019,la_2025,ev_2015,ev_2019,ev_2025,barrel_2015,barrel_2019,barrel_2025,bbe_2015,bbe_2025
Ketel Marte,5.1,11.6,15.0,85.7,89.9,90.7,1.7,9.3,13.6,176,398
Francisco Lindor,5.7,12.0,14.9,88.9,90.7,90.1,3.7,7.5,8.9,326,517
George Springer,9.1,10.4,17.2,89.9,89.8,90.0,9.6,14.6,16.2,280,390
José Ramírez,11.4,19.6,19.2,86.1,89.1,89.0,1.8,6.3,7.1,271,524
Eugenio Suárez,14.3,17.7,21.9,88.2,89.3,90.2,5.5,14.1,14.3,274,399
Marcell Ozuna,7.2,13.5,14.1,91.8,91.8,89.9,6.1,12.4,11.5,345,348
Jose Altuve,10.9,9.2,17.0,86.0,86.6,84.0,3.2,8.4,6.2,570,485
Enrique Hernández,10.5,19.4,16.5,90.1,88.3,89.8,5.1,5.6,9.5,156,169
Michael A. Taylor,9.6,,15.5,88.5,,86.8,6.7,,10.5,299,190
Marcus Semien,13.6,14.9,19.4,87.1,88.9,88.3,4.6,8.6,6.8,416,385
Salvador Perez,13.0,,18.1,87.3,,90.0,5.5,,14.8,437,473
Kyle Schwarber,15.5,15.2,20.1,91.9,92.9,94.3,12.3,14.6,20.8,154,408
Xander Bogaerts,6.7,13.3,11.3,87.9,90.7,88.9,2.6,8.7,6.9,505,403
Carlos Santana,12.3,11.7,16.7,89.0,91.8,87.6,7.2,9.7,4.9,428,328
Starling Marte,5.2,8.1,9.4,87.2,88.1,85.9,6.9,8.3,7.9,448,228
Wilmer Flores,14.7,16.4,18.8,86.4,87.4,85.9,1.9,5.1,4.8,415,334
Mike Trout,14.0,22.2,17.8,92.9,90.9,90.9,16.5,19.2,15.9,417,283
Joc Pederson,13.7,15.5,16.9,91.2,91.0,90.9,12.2,10.4,9.5,304,199
Paul Goldschmidt,12.8,15.4,15.9,92.0,90.1,90.4,12.8,11.4,8.0,414,389
Jorge Soler,11.1,15.4,13.8,91.8,92.5,89.7,10.2,16.9,12.8,246,188
Nolan Arenado,16.3,17.7,19.0,90.6,89.4,86.8,8.8,8.0,4.0,490,353
Mookie Betts,15.4,19.0,18.0,90.4,91.0,89.1,5.7,10.3,5.5,506,531
J.T. Realmuto,8.9,14.4,11.1,88.4,90.3,90.0,4.3,8.7,8.8,371,376
Giancarlo Stanton,15.7,,17.5,96.1,,94.4,24.5,,22.1,184,154
Christian Yelich,0.0,11.3,1.8,91.7,93.3,90.0,4.9,15.9,10.3,368,406
Manny Machado,12.6,12.9,14.3,91.1,91.2,92.9,7.7,8.0,12.9,518,489
Randal Grichuk,16.3,16.0,17.6,92.2,89.3,92.4,17.6,8.5,11.7,204,214
Andrew McCutchen,13.9,12.7,14.5,90.6,90.6,89.5,9.3,7.3,8.4,439,359
Freddie Freeman,14.4,14.4,14.3,90.6,89.7,90.9,11.4,12.3,10.4,315,432
Carlos Correa,8.3,12.5,7.4,90.0,89.0,90.5,9.1,13.6,6.9,308,422
Nick Castellanos,16.8,13.9,15.4,88.3,88.9,87.8,7.8,11.0,7.7,397,418
Jose Iglesias,4.3,7.1,2.8,83.3,84.0,82.8,0.0,2.4,2.0,363,255
Bryce Harper,14.4,13.6,11.4,91.1,91.8,91.0,13.1,14.9,12.3,389,383
