season,team,team_name,batted_balls,home_runs,launch_angle,barrel_rate,exit_velocity,hard_hit_pct,flyball_pct,groundball_pct,hr_per_flyball,avg_hr_distance
2015,ARI,D-backs,4440,154,10,6.4,88.5,32.6,16.1,49.4,21.5,403
2015,ATL,Braves,4411,100,8.4,4,87,29.4,17.5,51.4,12.9,400
2015,BAL,Orioles,4206,217,12.3,7.3,88.8,35.2,21.2,44.8,24.4,398
2015,BOS,Red Sox,4564,161,10.6,5.5,88.5,33.4,20.9,48.1,16.9,399
2015,CHC,Cubs,4040,171,12.7,7.2,88.1,33.4,22.3,44.6,19,400
2015,CIN,Reds,4403,167,11.7,5.4,86.9,27.6,19.6,45.4,19.4,395
2015,CLE,Guardians,4379,141,11.2,5.2,88.3,34.7,20.1,46.7,16.1,396
2015,COL,Rockies,4367,186,10.9,6.1,88.4,33.2,17.4,46.1,24.5,411
2015,CWS,White Sox,4369,136,8.9,4.5,87.8,31.6,17.2,50.3,18.1,397
2015,DET,Tigers,4404,151,12.4,6.9,88.4,34.7,23,44.3,14.9,394
2015,HOU,Astros,4138,230,13.3,7.6,88.7,35.8,23.6,42.8,23.5,393
2015,KC,Royals,4683,139,11.3,5.2,88,32.5,21.4,46.2,13.9,403
2015,LAA,Angels,4344,176,11.2,6.2,87.8,30.9,19.3,46.7,21,405
2015,LAD,Dodgers,4206,187,11.7,7.2,88.6,35.3,19.5,45.4,22.8,403
2015,MIA,Marlins,4424,120,6.2,4.9,88.3,32.4,15.4,54.2,17.6,406
2015,MIL,Brewers,4270,145,9.8,5.6,88,32.1,17.9,49.3,19,403
2015,MIN,Twins,4274,156,11.7,5.6,88.1,32.8,22.4,46.2,16.3,399
2015,NYM,Mets,4298,177,12.6,6.3,88.7,34.6,22.5,43.3,18.3,399
2015,NYY,Yankees,4418,212,13.4,6,88.2,34.2,23.3,43.1,20.6,393
2015,OAK,Athletics,4533,146,10.8,5,87.3,30,19.1,46.4,16.9,398
2015,PHI,Phillies,4337,130,10.7,4.7,87.4,29.7,18.1,47.8,16.6,394
2015,PIT,Pirates,4413,140,9.3,6.4,88.5,35.7,18.8,49.4,16.9,407
2015,SD,Padres,4224,148,11.3,5.3,87.9,32.4,20.3,46.9,17.2,396
2015,SEA,Mariners,4281,198,11,7.9,89.9,38.8,21,45.9,22,403
2015,SF,Giants,4488,136,9.1,5.4,87.6,31.4,18.1,49.4,16.7,399
2015,STL,Cardinals,4298,137,10.7,6.2,88.1,32.9,19.8,47.8,16.1,405
2015,TB,Rays,4241,167,12.8,5.9,87.9,32.3,22.4,44.1,17.6,398
2015,TEX,Rangers,4375,172,11,6.3,88.6,35.6,18.4,47.9,21.3,400
2015,TOR,Blue Jays,4457,232,11.4,7.9,88.8,36.6,20.6,46.5,25.2,400
2015,WSH,Nationals,4190,177,9.4,7.2,89.4,37.4,17.3,49.5,24.4,406
2016,ARI,D-backs,4319,190,9.7,7.8,89,34.7,18.6,50,23.7,405
2016,ATL,Braves,4390,122,9.4,5.8,88.4,31.5,18,49.3,15.4,397
2016,BAL,Orioles,4253,253,13.7,9.6,89.4,37.4,23.8,43.5,25,403
2016,BOS,Red Sox,4558,208,11.3,7.3,89.1,35.2,22,45.1,20.8,395
2016,CHC,Cubs,4243,199,13.3,7.9,88.2,32.8,22.2,44,21.1,398
2016,CIN,Reds,4305,164,11.6,5.2,86.8,28.3,19.2,46.5,19.8,396
2016,CLE,Guardians,4329,185,13.2,6.7,88.5,35,20.7,44,20.7,402
